Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
SUPERMERCADO TAKAHASHI LTDA,SUPERMERCADO TAKAHASHI,ITALO ADAMI,800,ESTACAO,ITAQUAQUECETUBA,08574020,SP
SUPERMERCADO TAMI LTDA,,PORTO VELHO,150,JARDIM CUMBICA,GUARULHOS,07240060,SP
SUPERMERCADO TOK LEVE LTDA,,DOUTOR SILVIO BERTACCHI,975,JARDIM COLOMBO,SAO PAULO,05625001,SP
SUPERMERCADO TORRINHA SERVE LTDA,,MARIO BATISTELA,444,CENTRO,TORRINHA,17360000,SP
SUPERMERCADO TRES PINHEIRO LTDA.,,JOAQUIM R DOS SANTOS,493,CENTRO,BOM JESUS DOS PERDOES,12955000,SP
SUPERMERCADO TRIALBA LTDA.,,ARICA-MIRIM,63,VILA SAO FRANCISCO,SAO PAULO,03680010,SP
SUPERMERCADO TULON LTDA,,BENEDITO A B SOBRINHO,71,BROTAS,ITATIBA,13257721,SP
SUPERMERCADO UIRAPURU LTDA,,JOAO BATISTA NOGUEIRA,750,VILA NOVA CUMBICA,GUARULHOS,07230451,SP
SUPERMERCADO UNE LTDA,,SALVADOR LEITE MARQUES,558,EDEN,SOROCABA,18103050,SP
SUPERMERCADO UNIAO DE SAO VICENTE LTDA,SUPERMERCADO UNIAO,PREFEITO PRESTES MAIA,20,ESPLANADA DOS BARREIROS,SAO VICENTE,11340270,SP
SUPERMERCADO UNION EIRELI,SUPERMERCADO IDEAL,FRANCISCO MEDINILHA SAN MARTIN,206,PARQUE RESIDENCIAL MONTE REY III,PIRACICABA,13409133,SP
SUPERMERCADO VALDEVINO ALVES DE MELO & CIA LTDA,,GEISHOFER,254,JARDIM BARUCH,GUARULHOS,07082180,SP
SUPERMERCADO VARANDAS LTDA,VARANDAS,SENADOR PINHEIRO MACHADO,643,CAMPO GRANDE,SANTOS,11075003,SP
SUPERMERCADO VERAN LTDA.,,BENJAMIN CONSTANT,894,CENTRO,SUZANO,08674010,SP
SUPERMERCADO VIEIRA DIAS DA SILVA DE BAURU LTDA,,RAFAEL PEREIRA MARTINI,1266,JARDIM REDENTOR,BAURU,17032970,SP
SUPERMERCADO VILA NOVA CURUCA LTDA,,NORDESTINA,3.745,VILA NOVA CURUCA,SAO PAULO,08032000,SP
SUPERMERCADO VIOLETA ITABERABA LTDA,,ITABERABA,3500,ITABERABA,SAO PAULO,02739000,SP
SUPERMERCADO VIOLETA LTDA,,EMBAIXADOR C DE LACERDA,112,VL GOMES,SAO PAULO,05591010,SP
SUPERMERCADO X LTDA,MERCADO X,DO SACRAMENTO,1126,JD MARIA DO CARMO,GUARULHOS,07263000,SP
SUPERMERCADO XODO LTDA,SUPERMERCADO XODO,TTE JOSE M ALBUQUERQUE,248,CENTRO,ANGATUBA,18240000,SP
SUPERMERCADO YAMAUCHI LTDA,YAMAUCHI,CDE PRATES,111,PARQUE DA MOOCA,SAO PAULO,03122000,SP
SUPERMERCADO ZAIA EIRELI EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,,EDWARD FRU-FRU MARCIANO DA SILVA,250,JARDIM SAO GUILHERME,SOROCABA,18074621,SP
SUPERMERCADOS BANDEIRA LTDA.,SUPERMERCADO BANDEIRA,DA BANDEIRA,17 A,CENTRO,ITAPECERICA DA SERRA,06853410,SP
SUPERMERCADOS BERGAMINI LTDA,,ROLAND GARROS,1765,PQ EDU CHAVES,SAO PAULO,02235001,SP
SUPERMERCADOS BON-NETTO LTDA.,SUPERMERCADOS BON NETTO,THOMAZ JASSO,480,JARDIM DONA IRMA,JAGUARIUNA,13917058,SP
SUPERMERCADOS CAETANO LTDA,SUPERMERCADOS CAETANO,11 DE AGOSTO,623,CENTRO,VALINHOS,13273609,SP
SUPERMERCADOS CAROLINA LTDA,SUPERMERCADOS CAROLINA LTDA,WALDEMAR CARLOS PEREIRA,1971,VILA TALARICO,SAO PAULO,03533003,SP
SUPERMERCADOS CAVICCHIOLLI LTDA,SUPERMERCADO SAO VICENTE,JOAO BERNESTEIN,630,SAO VITO,AMERICANA,13473200,SP
SUPERMERCADOS DALBEN LTDA,SUPER MERCADO DALBEN,NOSSA SENHORA DE FATIMA,1270,JARDIM BELA VISTA,CAMPINAS,13077001,SP
SUPERMERCADOS DEFAVARI LTDA,SUPERMERCADOS DEFAVARI,VITORIO HANSEN,80,CENTRO,RIO DAS PEDRAS,13390000,SP
SUPERMERCADOS ECOCENTER LTDA.,SUPERMERCADOS YAMAUCHI,AZEVEDO SOARES,2726,VILA GOMES CARDIM,SAO PAULO,03322002,SP
SUPERMERCADOS GRICKI LTDA.,,SIMAO DA SILVA TEIXEIRA,1698,CENTRO,SAO SIMAO,14200000,SP
SUPERMERCADOS HIGA & FILHOS LTDA,HIGAS & FILHOS,MATEO BEI,1155,SAO MATEUS,SAO PAULO,03949011,SP
SUPERMERCADOS IRMAOS LOPES S/A,,SAO PAULO,335,JD.TRANQUILIDADE,GUARULHOS,07052160,SP
SUPERMERCADOS JAU SERVE LTDA,JAU SERVE,JOAO SANZOVO,1401,DISTRITO INDUSTRIAL,JAU,17206220,SP
SUPERMERCADOS KACULA LTDA,KACULA SUPERMERCADOS,AUGUSTO DE ALMEIDA BATISTA,204,EMBU MIRIM,EMBU DAS ARTES,06826280,SP
SUPERMERCADOS KAWAKAMI LTDA,SUPERMERCADO KAWAKAMI,THOMAZ ALCALDE,1220,PALMITAL,MARILIA,17511342,SP
SUPERMERCADOS LAVAPES SA,,MARQUES,879,VILA BIANCHI,MOGI MIRIM,13800002,SP
SUPERMERCADOS LISBOA LTDA,SUPERMERCADOS LISBOA,JOSE BONIFACIO,153,CENTRO,SANTO ANASTACIO,19360000,SP
SUPERMERCADOS M FARIA E R GRAVINA LTDA.,,JOAO CAETANO,57,CAMPO GRANDE,SANTOS,11070310,SP
SUPERMERCADOS MADRID LTDA,,MARTIM FRANCISCO,777,SANTA CECILIA,SAO PAULO,01226001,SP
SUPERMERCADOS MAMBO LTDA.,SUPERMERCADOS MAMBO,OTAVIANO ALVES DE LIMA,2758,CASA VERDE,SAO PAULO,02501000,SP
SUPERMERCADOS MARCON LTDA,SUPERMARCON,ORDELE,307,CENTRO,LARANJAL PAULISTA,18500000,SP
SUPERMERCADOS MIALICH LTDA,,ANTONIO DA COSTA LIMA,283,PQ INDL A A PALMA,RIBEIRAO PRETO,14077230,SP
SUPERMERCADOS PALOMAX LTDA,,ACRE,123,JARDIM DO BOSQUE,MATAO,15997129,SP
SUPERMERCADOS PATROCINIO E FILHOS LTDA,,PAULINO PUCCI,845,JARDIM FRANCANO,FRANCA,14405018,SP
SUPERMERCADOS PRECO IDEAL LTDA,PRECO & CIA,MARIA CARLOTA,577,VL ESPERANCA,SAO PAULO,03647000,SP
SUPERMERCADOS RASTELAO LTDA,SUPERMERCADOS RASTELAO,PIZA SOBRINHO,281,CENTRO,CAFELANDIA,16500000,SP
SUPERMERCADOS SOLAR LTDA,,DOM PEDRO I,3339,VILA LUTECIA,SANTO ANDRE,09130410,SP
SUPERMERCADOS TREIXEDO LTDA.,PORTUGA,PAPA JOAO XXIII,365,CENTRO,PEDREIRA,13920000,SP
SUPERMERCADOS TUDO DE BOM LTDA.,SUPERMERCADOS TUDO DE BOM,SP 107,S/N,CENTRO,HOLAMBRA,13825000,SP
SUPERMERCADOS YAYA LIMITADA,,TUTOIA,430,PARAISO,SAO PAULO,04007002,SP
"SUPERPAV - SERVICOS DE ENGENHARIA, SUPERVISAO E AUDITORIA DE OBRAS LTDA",,MARECHAL DEODORO,1226,CENTRO,SAO BERNARDO DO CAMPO,09710002,SP
SUPERTEC EQUIPAMENTOS DE PROTECAO EIRELI,SUPERTEC EQUIPAMENTOS DE PROTECAO EIRELI,GAIVOTA,111,JARDIM SANTA LUCIA,CAMPO LIMPO PAULISTA,13236172,SP
SUPERVAREJAO SAUDE LTDA,SAUDE SUPERMERCADOS,DO CURSINO,3462,SAUDE,SAO PAULO,04132002,SP
SUPLEY LABORATORIO DE ALIMENTOS E SUPLEMENTOS NUTRICIONAIS LTDA,SUPLEY LABORATORIO,AUGUSTO BAMBOZZI,1890,SETOR INDUSTRIAL,MATAO,15993200,SP
SUPORTE VILLAGE - SERVICOS EM PORTARIA LTDA,SUPORTE VILLAGE,DOUTOR QUIRINO,960,CENTRO,CAMPINAS,13015081,SP
SUPPLIER ADMINISTRADORA DE CARTOES DE CREDITO S.A.,,PAULISTA 1728,1728,BELA VISTA,SAO PAULO,01310919,SP
SUPPLY SERVICOS GERAIS LTDA,,DOMINGOS TORRES,173,CASA VERDE MEDIA,SAO PAULO,02521100,SP
SUPPORT BACK OFFICE CONSULTORIA EMPRESARIAL LTDA.,,MINISTRO NELSON HUNGRIA,90,VILA TRAMONTANO,SAO PAULO,05690050,SP
SUPPORT CARGO S.A.,,ANGELINA SCILIANO FERIANI,201,TABOAO,SAO BERNARDO DO CAMPO,09655010,SP
SUPPORT EDITORA E PAPELARIA LTDA,,LINS DE VASCONCELOS,2684,VL MARIANA,SAO PAULO,04112002,SP
SUPREMA SEGURANCA PATRIMONIAL LTDA,,DR.ALEXANDER FLEMING,33,NOVA CAMPINAS,CAMPINAS,13092140,SP
SUPREMA SERVICOS GERAIS E DE PORTARIA LTDA,SUPREMA SERVICOS,DOUTOR  ALEXANDER FLEMING,33,NOVA CAMPINAS,CAMPINAS,13092140,SP
SUPREMA VEICULOS E PECAS LTDA,,RUI BARBOSA,3018,JARDIM PAULISTA,ASSIS,19815001,SP
SUPRICEL CONSTRUTORA E INCORPORADORA LTDA.,,MANOEL DOMINGOS PINTO,274,PARQUE ANHANGUERA,SAO PAULO,05120000,SP
SUPRICLEAN SERVICOS DE LIMPEZA EIRELI,SUPRICLEAN,WINSTON CHURCHILL,601,JARDIM DAS INDUSTRIAS,SAO JOSE DOS CAMPOS,12240681,SP
SUPRICORP SUPRIMENTOS LTDA,GIMBA,AGOSTINHO GOMES,330,IPIRANGA,SAO PAULO,04206000,SP
SUPRIR INDUSTRIA DE METAIS LTDA,,ANHANGUERA,S/N,RECREIO ANHANGUERA,RIBEIRAO PRETO,14097140,SP
SURF CO.LTDA,,DOS ITALIANOS,1025,BOM RETIRO,SAO PAULO,01131000,SP
SURFACAGEM RIACHUELO LTDA,,PORTO CALVO,75,LUZ,SAO PAULO,01109070,SP
"SUSSANTUR TRANSPORTES, TURISMO E FRETAMENTO LTDA.",SUSSANTUR,JOSE SOLANA,1100,RIO BONITO,SAO PAULO,04829280,SP
SUSTENTARE PRODUTOS ALIMENTICIOS LTDA,,MUNICIPAL FIORAVANTE CARLOTTI,1901 E,SANTA TEREZA,PEDREIRA,13920000,SP
SUZAN SERVICE TRANSPORTES LTDA,,BARUEL,55,CENTRO,SUZANO,08675000,SP
SUZANLOG LOGISTICA LTDA,SUZANLOG,JOSE SANCHES MARIN,700,VILA COLORADO,SUZANO,08616770,SP
SUZANPECAS INDUSTRIA METALURGICA EIRELI,,PREFEITO TAKUME KOIKE,11,NUCLEO ITAIM,FERRAZ DE VASCONCELOS,08538100,SP
SUZAQUIM INDUSTRIAS QUIMICAS LTDA,,RAPHAEL DA ANUNCIACAO FONTES,349,CHACARAS CERES,SUZANO,08655243,SP
SUZIGAN & TALASSO TECIDOS LTDA,,CARMINE FEOLA,916,CATHARINA ZANAGA,AMERICANA,13469360,SP
SV VIAGENS LTDA,,INDUSTRIAL,600,JARDIM,SANTO ANDRE,09080970,SP
SVP COMERCIO DE ALIMENTOS LTDA,,VEREADOR AROLDO ALVES NEVES,900,SOMMA,RIBEIRAO PIRES,09445400,SP
SVSERV SERVICOS GERAIS DE PORTARIA E LIMPEZA LTDA,,PRINCESA ISABEL,142,NOVA PETROPOLIS,SAO BERNARDO DO CAMPO,09771110,SP
SWB INDUSTRIA MECANICA E AUTOMACAO INDUSTRIAL LTDA,,CORONEL OLIVEIRA LIMA,1001,BAIRRO ALIANCA,RIBEIRAO PIRES,09404100,SP
SWEDA INFORMATICA LTDA,SWEDA INFORMATICA LTDA,DONA BRIGIDA,713,VILA MARIANA,SAO PAULO,04111081,SP
SWEETMIX INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,,CACAPAVA,60,JARDIM SAIRA,SOROCABA,18085250,SP
SWH SERVICOS TEMPORARIOS LTDA,,JOAO PEREIRA,407-A,LAPA,SAO PAULO,05074070,SP
SWISS RE CORPORATE SOLUTIONS BRASIL SEGUROS S.A.,,PAULISTA,500,BELA VISTA,SAO PAULO,01310000,SP
SWISSPORT BRASIL LTDA,,BERNADINO DE CAMPOS,98,PARAISO,SAO PAULO,04004040,SP
SYMANTEC BRASIL - COMERCIO DE SOFTWARE LTDA.,,DOUTOR CHUCRI ZAIDAN 920,920,VILA CORDEIRO,SAO PAULO,04583904,SP
SYMEK LOCADORA DE EQUIPAMENTOS LTDA,,DE ITU,1183,JARDIM ALVORADA,JANDIRA,06612250,SP
SYMRISE AROMAS E FRAGRANCIAS LTDA.,,PAULO VARCHAVTCHIK,200-01,APARECIDINHA,SOROCABA,18087190,SP
SYNCHRO SISTEMAS DE INFORMACAO LTDA,,SAMUEL MORSE,74,BROOKLIN NOVO,SAO PAULO,04576060,SP
SYNERGIA - CONSULTORIA URBANA E SOCIAL LTDA.,SYNERGIA SOCIOAMBIENTAL,IPIRANGA,104,REPUBLICA,SAO PAULO,01046010,SP
SYNGENTA AGRICOLA LTDA,,LAURENTINO MASCARI - SP 333,S/N,ZONA RURAL,ITAPOLIS,14900000,SP
SYNGENTA SEEDS LTDA.,,NACOES UNIDAS,18.001,SANTO AMARO,SAO PAULO,04795900,SP
SYNTEC DO BRASIL LTDA,,ROSA SCARPA,178,VOTUPARIM,SANTANA DE PARNAIBA,06513010,SP
SYNTHESIS INDUSTRIA E COMERCIO DE MOBILIARIO LTDA,,PRESIDENTE DUTRA,S/N,JARDIM ALAMO,GUARULHOS,07178580,SP
SYSMAP SOLUTIONS SOFTWARE E CONSULTORIA LTDA.,,DESEMBARGADOR ELISEU GUILHERME,200,PARAISO,SAO PAULO,04004030,SP
SYSTAX SISTEMAS FISCAIS LTDA,SYSTAX,PAMPLONA,145,JARDIM PAULISTA,SAO PAULO,01405100,SP
SYSTEM & CIA COMERCIO CONSERVACAO E MANUTENCAO EM ZELADORIA LTDA,SYSTEM & CIA,JOSE DO CARMO LEITE,12,CENTRO,CAIEIRAS,07700130,SP
SYSTEMAIR TRAYDUS CLIMATIZACAO INDUSTRIA E COMERCIO LTDA.,,PREFEITO JOSE CARLOS,2000,SANTA JULIA,ITUPEVA,13295000,SP
SYSTEMCRED - SOLUCOES EM RECUPERACAO DE ATIVOS LTDA,SYSTEMCRED,SANTOS,745,CERQUEIRA CESAR,SAO PAULO,01419001,SP
SYSTRA ENGENHARIA E CONSULTORIA LTDA,SYSTRA,GOMES DE CARVALHO,1510,VILA OLIMPIA,SAO PAULO,04547005,SP
T & T COMERCIAL E INDUSTRIAL DE ALIMENTOS LTDA,,PARTICULAR JARDIM REGINA,1120,ATANAZIO,PINDAMONHANGABA,12400970,SP
T F MIRANDA MERCADO EIRELI,MERCADO KIODAI,MARANHAO,235,PARQUE PARAISO,ITAPECERICA DA SERRA,06852090,SP
T LINE VEICULOS LTDA,T LINE,VER JOSE DINIZ,3500,CAMPO BELO,SAO PAULO,04604006,SP
T U A TRANSPORTES URBANOS ARACATUBA LTDA,T U A,AGUA FUNDA,235,JARDIM SAO JOSE,ARACATUBA,16070070,SP
T-SYSTEMS DO BRASIL LTDA.,,OLIMPIADAS,205,VILA OLIMPIA,SAO PAULO,04551000,SP
T. MARCHIORI - COMERCIO DE VIDROS EIRELI,VETEC - COMERCIO DE VIDROS,MARIA SOLDEIRA LOURENCON,470,SANTA JULIA,ITUPEVA,13295000,SP
"T.B.I. DO BRASIL INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE INJECAO PLASTICA LTDA",T.B.I. ASSISTENCIA TECNICA E CONSULTORIA,EDUARDO KARKLIS,800,DISTRITO INDUSTRIAL II,NOVA ODESSA,13380001,SP
T.F.T - TECIDOS E FIOS TECNICOS LTDA,CIAMARRO TEXTIL,EUGENIO BERTINI,81/111,JARDIM SAO LUIZ,AMERICANA,13477570,SP
T.G. LOGISTICA E TRANSPORTES LTDA,,BARAO DE MAUA,2060,DISTRITO INDUSTRIAL GETULIO VARGAS,MOGI-GUACU,13846300,SP
T.H.E. TECNOLOGIA EM HIDRAULICA E ELETRICA LTDA,,CLELIA,680,AGUA BRANCA,SAO PAULO,05042000,SP
T.H.R. INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,,FORTE DOS FRANCESES,455,PARQUE SAO LOURENCO,SAO PAULO,08340150,SP
T.H.V.-TRANSPORTES LTDA,,PRF MARIA J B FERNANDES,701,VILA MARIA,SAO PAULO,02117022,SP
T.K.S. SISTEMAS HOSPITALARES E CONSULTORIOS MEDICOS LTDA.,CDB - CENTRO DE DIAGNOSTICOS BRASIL,BRASIL,350,JARDIM AMERICA,SAO PAULO,01430000,SP
T.Q.A. INDUSTRIA E COMERCIO LTDA,TQA,BENEVENUTO MORETO,S/N,SETE BARRAS,BRAGANCA PAULISTA,12914970,SP
T.R. NEWS SERVICOS TEMPORARIOS LTDA.,TR NEWS TRADE MARKETING,BARAO DE JAGUARA,981,CAMBUCI,SAO PAULO,01520010,SP
T.W.A. TRANSPORTES - EIRELI,,LAURO DE GUSMAO SILVEIRA,668,JARDIM SAO GERALDO,GUARULHOS,07140010,SP
T&D SERVICOS DE PORTARIA LTDA,,POTI,48,TUPI,PRAIA GRANDE,11703600,SP
T&G VIAGENS E TURISMO LTDA,TOP SERVICE INCENTIVE TRAVEL & EVENTS,ARAGUAIA,2044,ALPHAVILLE INDUSTRIAL,BARUERI,06455000,SP
T2C - COMERCIO VAREJISTA DE ALIMENTOS EIRELI,,CARLOS ZACCARIA,100,PARQUE NOSSA SENHORA DAS DORES,LIMEIRA,13483110,SP
T4E INDUSTRIA COMERCIO IMPORTACAO EXPORTACAO EIRELI,,OSVALDO CRUZ,00481,SANTA PAULA,SAO CAETANO DO SUL,09541270,SP
T4F ENTRETENIMENTO S.A.,,BENTO BRANCO DE ANDRADE FILHO,400,JARDIM DOM BOSCO,SAO PAULO,04757000,SP
TAASA INDUSTRIA DO VESTUARIO EIRELI,,DOUTOR BARROS JUNIOR,12/22,CENTRO,SALTO,13320220,SP
TABATINGA HOTELARIA E EVENTOS LTDA,HOTEL TABATINGA,RIO SANTOS SP 55,02500,PRAIA DE TABATINGA,CARAGUATATUBA,11679900,SP
TABOAO SANTO SUPERMERCADO LTDA,,TENENTE JOSE MARIA DA CUNHA,1230,JARDIM RECORD,TABOAO DA SERRA,06783230,SP
TAC TECNOLOGIA EM ARTEFATOS DE CONCRETO LTDA,TAC TECNOLOGIA EM ARTEFATOS DE CONCRETO,VICENTE LAUREANO,81,AGUA BRANCA,BOITUVA,18550000,SP
TADEX TRANSPORTES LTDA,,CARLOS MARCONDES,279,JARDIM LIMOEIRO,SAO JOSE DOS CAMPOS,12241421,SP
"TAFF4 IMPORTACAO, EXPORTACAO E LOCACAO DE EQUIPAMENTOS LTDA",MUNDO EQUIPAMENTOS,DO CAPUAVA,1675,JARDIM DOS IPES,COTIA,06716155,SP
TAG MENSAGERIA TRANSPORTES E SERVICOS LTDA,TAG SERVICOS,JOSE SEMIAO RODRIGUES AGOSTINHO,1370,AGUA ESPRAIADA,EMBU DAS ARTES,06833370,SP
TAGGPROMO MARKETING PROMOCIONAL LTDA,,RIO NEGRO,1084,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,BARUERI,06454000,SP
TAGGPROMO TRABALHOS TEMPORARIOS LTDA,,ALVARENGA,1442,BUTANTA,SAO PAULO,05509003,SP
TAGMA BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,TAGMA BRASIL,ROBERTO SIMONSEN,1459,POCO FUNDO,PAULINIA,13140031,SP
TAGPLAN COMERCIO SERVICOS DE ENGENHARIA E REPRESENTACOES LTDA,,RUI BARBOSA,1757,SANTA RITA,GUARATINGUETA,12502010,SP
TAHOE COMERCIO DE ALIMENTOS LTDA,,CONSELHEIRO NEBIAS,588,BOQUEIRAO,SANTOS,11045002,SP
TAIFF-PROART DISTRIBUIDORA DE PRODUTOS DE BELEZA LTDA.,,NACOES UNIDAS,21.314,SOCORRO,SAO PAULO,04795000,SP
TAIPASTUR TRANSPORTES TURISTICOS LTDA,,DEPUTADO CANTIDIO SAMPAIO,6557,VILA SOUZA,SAO PAULO,02860001,SP
TAIZA GIATTI LEUTEVILER PETITTO,,ALEXANDRE MAGNUSSON,2.210,DISTRITO INDUSTRIAL,PRADOPOLIS,14850000,SP
TAKA SUPERMERCADO LTDA,,JOAO MANOEL,541,CENTRO,ARUJA,07400015,SP
TAKASAGO FRAGRANCIAS E AROMAS LTDA,,FRANCISCO FOGA,200,DISTRITO INDUSTRIAL BENEDITO STORANI,VINHEDO,13288166,SP
TAKASHI SHINTANI & CIA. LTDA.,,FCO FERREIRA LOPES,1416,VL LAVINIA,MOGI DAS CRUZES,08735200,SP
TAKOISH COMERCIO VERDURAS E LEGUMES LTDA,TAKOISH,DOUTOR GASTAO VIDIGAL 1946,1946,VILA LEOPOLDINA,SAO PAULO,05316900,SP
TALENT COMUNICACAO E PLANEJAMENTO LTDA.,,PRES. JUSCELINO KUBITSCHEK,1455,VILA NOVA CONCEICAO,SAO PAULO,04543011,SP
TALENT PRO INFORMATION TECHNOLOGY LTDA,,FLORIDA,1703,CIDADE MONCOES,SAO PAULO,04565001,SP
TALENTECH - TECNOLOGIA LTDA,TALENTECH,QUEIROZ FILHO,1700,VILA HAMBURGUESA,SAO PAULO,05319000,SP
TALIBE LOGISTICA E CONFECCAO EIRELI,TALIBE CONFECCAO E LOGISTICA,ENGENHEIRO RENE BENEDITO SILVA,790,JARDIM SANTA RITA,ITAPEVI,06683000,SP
"TALIE INDUSTRIA, COMERCIO, EXPORTACAO E IMPORTACAO DE CONFECCOES E ACESSORIOS LTDA.",TALIE,HADDOCK LOBO,1592,CERQUEIRA CESAR,SAO PAULO,01414002,SP
TALKFLEX CALCADOS EIRELI,TALKFLEX,OSWALDO CRUZ,1786,JARDIM BOA ESPERANCA,FRANCA,14401212,SP
TALMA OBRAS E SERVICOS S/S LTDA,,SENA MADUREIRA,151,VILA CLEMENTINO,SAO PAULO,04021050,SP
TALUDE CONSTRUCOES S.A.,,IBATEGUARA,170,SITIO MUTINGA,BARUERI,06463300,SP
TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,,MONS ANTONIO PEPE,94,AEROPORTO,SAO PAULO,04357900,SP
TAMBORE ALUMINIO LTDA,,DOMINGOS SILVESTRE,250,CAJURU DO SUL,SOROCABA,18105010,SP
TAMBORE SERVICOS LTDA,TAMBORE,JOAO FERREIRA CAMARGO,1176,SITIO MUTINGA,BARUERI,06460060,SP
TAMOIO BOAS IMPRESSOES IMPORTACAO E EXPORTACAO LTDA,,SEGUNDA TRAVESSA FAZENDA BOM RETIRO,360,JARDIM SANTA LUCIA,SAO JOSE DOS CAMPOS,12226260,SP
TANBY COMERCIO DE PAPEIS LIMITADA,,DR NELSON D'AVILA,1202,JD VALE PARAISO,SAO JOSE DOS CAMPOS,12245031,SP
TANESFIL INDUSTRIA E COMERCIO LTDA,,ROSA KANSINSKI,1153,CAPUAVA,MAUA,09380128,SP
TANI MOTORS DISTRIBUIDORA DE VEICULOS LTDA,DAITAN,CIDADE JARDIM,51,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12231675,SP
TANKER SEGURANCA PATRIMONIAL EIRELI,TANKER SEGURANCA,WASHINGTON LUIZ,1930,SANTO AMARO,SAO PAULO,04662002,SP
TANQUIMICA INDUSTRIA E COMERCIO LTDA,,FAGUNDES DE OLIVEIRA,1200,PIRAPORINHA,DIADEMA,09950300,SP
TAPETES SAO CARLOS LTDA,,MIGUEL GIOMETTI,340,VILA ELIZABETH,SAO CARLOS,13560361,SP
TAQUARI PARTICIPACOES S/A,,PRESIDENTE JUSCELINO KUBITSCHEK,360,VILA NOVA CONCEICAO,SAO PAULO,04543000,SP
TARGO SERVICOS DE MARKETING LTDA,TARGO,CAMPOS SALES,980,VILA BOA VISTA,BARUERI,06411150,SP
TARJAB INCORPORADORA LTDA,,LOEFGREN,1057,VILA CLEMENTINO,SAO PAULO,04040030,SP
TARRAF CONSTRUTORA LTDA,TARRAF CONSTRUTORA,JOSE TESSAROLLO,150,DISTRITO INDUSTRIAL,SAO JOSE DO RIO PRETO,15035600,SP
TARRAF ELMAZ COMERCIO DE VEICULOS LTDA,TARRAF VEICULOS,BADY BASSITT,04666,VILA N.S.APARECIDA,SAO JOSE DO RIO PRETO,15025000,SP
TASA TINTURARIA AMERICANA LTDA,,JOSE MORENO,333,JD.ALVORADA,AMERICANA,13479155,SP
TASCA AUTO POSTO LTDA,,DOS IMIGRANTES,2171,CENTRO,BRAGANCA PAULISTA,12902000,SP
TASCO LIMITADA,TASCO,VER JOSE ANGELO BIAGIONI,850,PAU DALHO,BOITUVA,18550000,SP
TASQA SERVICOS ANALITICOS LTDA,,JACARANDA BRASILIANA,22,LOTEAMENTO INDUSTRIAL VECCON ZETA,SUMARE,13178545,SP
TATA CONSULTANCY SERVICES DO BRASIL LTDA,TATA CONSULTANCY SERVICES DO BRASIL.,MADEIRA,328,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,BARUERI,06454010,SP
TATE & LYLE BRASIL S.A.,,AMALIA,S/N,RURAL,SANTA ROSA DE VITERBO,14270000,SP
TATIX COMERCIO E PARTICIPACOES LTDA,,JOSE SEMIAO RODRIGUES AGOSTINHO,1370,AGUA ESPRAIADA,EMBU DAS ARTES,06833370,SP
TATU PREMOLDADOS LTDA,TATU PRE-MOLDADOS,ANHANGUERA,SN,BA LOPES,LIMEIRA,13486199,SP
TATUI SERVICOS DE MAO DE OBRA NAO TEMPORARIA LTDA,TATUI SERVICOS,GARCIA LORCA,231,PAULICEIA,SAO BERNARDO DO CAMPO,09695000,SP
TAUA EMPREENDIMENTOS ATIBAIA LTDA,,ETSUO AKAI,2715,PARQUE RIO ABAIXO,ATIBAIA,12952729,SP
TAUA HOTEL E CONVENTION ATIBAIA LTDA,,ETSUO AKAI,2715,PARQUE RIO ABAIXO,ATIBAIA,12952729,SP
TAUBATE VEICULOS LTDA,,DOM PEDRO I,5495,JD INDEPENDENCIA,TAUBATE,12090000,SP
TAUSTE SUPERMERCADOS LTDA,TAUSTE SUPERMERCADOS,REPUBLICA,2355,PALMITAL,MARILIA,17510402,SP
TAVARES & NERY LTDA,FORTE SEGURANCA,DANIELA KEIKO TAGIMA,456,RESIDENCIAL BORDON,SUMARE,13173438,SP
TAVARES PINHEIRO INDUSTRIAL LTDA,,VIA ANHANGUERA,S N,TERRA NOVA,JUNDIAI,13212390,SP
TAVEIRA TECNOLOGIA ISOLAMENTO TERMICO EIRELI,,RIBEIRAO PIRES,307,CIDADE EDSON,SUZANO,08665450,SP
TAXCO LOCADORA DE BENS LTDA,TAXCO,XAVIER DE TOLEDO,394,CENTRO,SANTO ANDRE,09010130,SP
TAYLOR SERVICOS DE PINTURA EIRELI,GRUPO ERIVALDO FALCAO,ALVARO FRAGOSO,765,IPIRANGA,SAO PAULO,04223000,SP
TB-FIL BRASIL INDUSTRIA E COMERCIO DE FILTROS E PECAS LTDA,,INDUBEL,459,VILA AEROPORTO,GUARULHOS,07170353,SP
TBB CARGO LTDA.,,NESTOR DE HOLANDA,140,VILA MARIA,SAO PAULO,02166060,SP
