Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
DUAL SERVICE RP  - SERVICOS INTEGRADOS LTDA,DUAL SERVICE,CONSELHEIRO ANTONIO PRADO,239,VILA ANGELICA,SAO JOSE DO RIO PRETO,15050030,SP
DUALTEC INFORMATICA S.A.,,BARAO DE LIMEIRA,458,CAMPOS ELISEOS,SAO PAULO,01202000,SP
DUBBAI SEGURANCA E VIGILANCIA EIRELI,,SANTA CRESCENCIA,94,JARDIM FERREIRA,SAO PAULO,05524020,SP
DUCTBUSTERS ENGENHARIA LIMITADA,DUCTBUSTERS,SANTO ANTONIO,48,CENTRO,POA,08550050,SP
DUCTOR IMPLANTACAO DE PROJETOS LTDA,,QUEIROZ FILHO,767,BOACAVA,SAO PAULO,05319000,SP
DUN & BRADSTREET DO BRASIL LTDA,,BERNARDINO DE CAMPOS,98,PARAISO,SAO PAULO,04004040,SP
DUNAMIS - SERVICOS EMPRESARIAIS TERCEIRIZADOS LTDA,DUNAMIS SERVICOS,PELEGRINO BERNARDO,412,OLIMPICO,SAO CAETANO DO SUL,09570180,SP
DUNAMIS SEGURANCA E VIGILANCIA LTDA,DUNAMIS SEGURANCA,ALEGRE,277,SANTA PAULA,SAO CAETANO DO SUL,09550250,SP
DUNGA PRODUTOS ALIMENTICIOS LTDA,,IOSOSUKE OKAUE,1273,JARDIM HELIAN,SAO PAULO,08265150,SP
DUNNHUMBY BRASIL CONSULTORIA LTDA,,BRIGADEIRO LUIS ANTONIO,3530,JARDIM PAULISTA,SAO PAULO,01402001,SP
