Logradouro,Longitude,Latitude
"AURELIANO CESAR DO NASCIMENTO, SOROCABA",-47.4229442,-23.4348079
"ENGENHEIRO ERMENIO OLIVEIRA PENTEADO, INDAIATUBA",-47.2483037,-23.1422189
"EDUARDO BORSARI, INDAIATUBA",-47.2355769,-23.132461
"CIPRIANO BARATA, SAO PAULO",-47.2544598,-23.0471965
"SANTA INES, SAO PAULO",,
"RAIMUNDO ANTUNES SOARES, PIEDADE",-47.4451616,-23.697675
"BENJAMIN DA SILVEIRA BALDY, PIEDADE",-47.4356714,-23.7067016
"RAIMUNDO ANTUNES SOARES, PIEDADE",-47.4451616,-23.697675
"COMENDADOR JUSTINO DIAS DE MORAIS, BATATAIS",,
"ALBERTINO DE CASTRO PRESTES, ARACARIGUAMA",-47.062245353203465,-23.43911885
"PAULISTA, SAO PAULO",-46.6622682,-23.5552461
"SP-340 (ADEMAR DE BARROS), MOGI-GUACU",,
"ARAGUACEMA, BARUERI",-46.8247267,-23.5011451
"TOMASINA, SAO PAULO",-46.6636656,-23.6604251
"MAZITO, ITAPEVI",-46.956616,-23.542488
"SP 191 KM. 63, RIO CLARO",-47.6129981,-22.382972
"JOAO GUSMIN, ARARAS",,
"ANTONIETA PIVA BARRANQUEIROS, JUNDIAI",-46.9383625,-23.169089
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"GUPE, BARUERI",-46.9085342,-23.5100475
"TIMBURI (JD ADELAIDE), CAJAMAR",,
"BRIGADEIRO GAVIAO PEIXOTO, SAO PAULO",-46.7185405,-23.5219107
"PRESIDENTE TANCREDO DE ALMEIDA NEVES, FRANCO DA ROCHA",-46.7111682,-23.3083527
"FIDENCIO RAMOS, SAO PAULO",-46.6861548,-23.5949266
"SAGITARIO, BARUERI",-46.8588218,-23.4847709
"MANOEL ANTONIO PORTELA, OSASCO",,
"CONEGO DOMENICO RANGONI, CUBATAO",-46.36052,-23.8570863
"MIGUEL FRIAS E VASCONCELOS, SAO PAULO",,
"ENGENHEIRO ANTONIO ALVES FREIRE, SANTOS",-46.3414501,-23.9269663
"AUGUSTO SEVERO, SANTOS",-46.3276412,-23.9335902
